Male	Female	Tissue	ExpGeneNumb.x	state.x	state.y	ExpGeneNumb.y	diff
88	B73	PHG35	Endosperm	21155	Hybrid	Inbred	20914.5	240.5
89	B73	PHG35	Internode	22490	Hybrid	Inbred	22378	112
90	B73	PHG35	Leaf	22496	Hybrid	Inbred	22413.5	82.5
91	B73	PHG35	Root	24761	Hybrid	Inbred	24496.5	264.5
92	B73	PHG35	Seedling	24601	Hybrid	Inbred	24811.5	-210.5
93	B73	PHG39	Endosperm	21086	Hybrid	Inbred	21282.5	-196.5
94	B73	PHG39	Internode	22329	Hybrid	Inbred	22438.5	-109.5
95	B73	PHG39	Leaf	22110	Hybrid	Inbred	22125.5	-15.5
96	B73	PHG39	Root	24887	Hybrid	Inbred	24677.5	209.5
97	B73	PHG39	Seedling	24288	Hybrid	Inbred	24695.5	-407.5
98	B73	PHG47	Endosperm	21496	Hybrid	Inbred	21061.5	434.5
99	B73	PHG47	Internode	22899	Hybrid	Inbred	22291.5	607.5
100	B73	PHG47	Leaf	22577	Hybrid	Inbred	22076.5	500.5
101	B73	PHG47	Root	24978	Hybrid	Inbred	24591	387
102	B73	PHG50	Endosperm	20020	Hybrid	Inbred	20625.5	-605.5
103	B73	PHG50	Internode	23080	Hybrid	Inbred	22525.5	554.5
104	B73	PHG50	Leaf	22526	Hybrid	Inbred	22259.5	266.5
105	B73	PHG50	Root	25249	Hybrid	Inbred	24655	594
106	B73	PHG50	Seedling	24373	Hybrid	Inbred	24644.5	-271.5
107	B73	PHG72	Endosperm	20803	Hybrid	Inbred	21136.5	-333.5
108	B73	PHG72	Internode	22738	Hybrid	Inbred	22383	355
109	B73	PHG72	Leaf	22426	Hybrid	Inbred	22178	248
110	B73	PHG72	Root	24722	Hybrid	Inbred	24403.5	318.5
111	B73	PHG72	Seedling	24213	Hybrid	Inbred	24534	-321
112	B73	PHJ40	Endosperm	20759	Hybrid	Inbred	20610.5	148.5
113	B73	PHJ40	Internode	22668	Hybrid	Inbred	22360	308
114	B73	PHJ40	Leaf	23066	Hybrid	Inbred	22173.5	892.5
115	B73	PHJ40	Root	24761	Hybrid	Inbred	24675	86
116	B73	PHJ40	Seedling	25162	Hybrid	Inbred	24957	205
117	B73	PHN11	Endosperm	20807	Hybrid	Inbred	20866.5	-59.5
118	B73	PHN11	Internode	22830	Hybrid	Inbred	22679	151
119	B73	PHN11	Leaf	22522	Hybrid	Inbred	21712.5	809.5
120	B73	PHN11	Root	24952	Hybrid	Inbred	24631	321
121	B73	PHN11	Seedling	24434	Hybrid	Inbred	24607.5	-173.5
122	B73	PHW65	Endosperm	21289	Hybrid	Inbred	20846	443
123	B73	PHW65	Internode	22381	Hybrid	Inbred	22446.5	-65.5
124	B73	PHW65	Leaf	22527	Hybrid	Inbred	22143	384
125	B73	PHW65	Root	24829	Hybrid	Inbred	24727.5	101.5
126	B73	PHW65	Seedling	24869	Hybrid	Inbred	24740	129
127	B73	W64A	Endosperm	21292	Hybrid	Inbred	21103	189
128	B73	W64A	Root	24813	Hybrid	Inbred	24703	110
129	B73	W64A	Seedling	24334	Hybrid	Inbred	24837.5	-503.5
130	Mo17	B73	Endosperm	20701	Hybrid	Inbred	20608.5	92.5
131	Mo17	B84	Endosperm	21078	Hybrid	Inbred	20374	704
132	Mo17	B84	Internode	23422	Hybrid	Inbred	22670	752
133	Mo17	B84	Leaf	23103	Hybrid	Inbred	22954.5	148.5
134	Mo17	B84	Root	25344	Hybrid	Inbred	24724	620
135	Mo17	B84	Seedling	24954	Hybrid	Inbred	24566.5	387.5
136	Mo17	CR1Ht	Endosperm	20294	Hybrid	Inbred	21074	-780
137	Mo17	DKFAPW	Endosperm	21053	Hybrid	Inbred	21591	-538
138	Mo17	DKFAPW	Internode	23522	Hybrid	Inbred	22747	775
139	Mo17	DKFAPW	Leaf	23182	Hybrid	Inbred	23037.5	144.5
140	Mo17	DKFAPW	Root	25594	Hybrid	Inbred	24685.5	908.5
141	Mo17	DKFAPW	Seedling	24880	Hybrid	Inbred	24720.5	159.5
142	Mo17	H99	Endosperm	21809	Hybrid	Inbred	21275	534
143	Mo17	H99	Internode	23973	Hybrid	Inbred	23063	910
144	Mo17	H99	Leaf	23102	Hybrid	Inbred	22821	281
145	Mo17	H99	Root	25242	Hybrid	Inbred	24793	449
146	Mo17	H99	Seedling	25534	Hybrid	Inbred	25005	529
147	Mo17	LH123Ht	Endosperm	20694	Hybrid	Inbred	20500.5	193.5
148	Mo17	LH123Ht	Internode	22537	Hybrid	Inbred	22778.5	-241.5
149	Mo17	LH123Ht	Leaf	22882	Hybrid	Inbred	22926	-44
150	Mo17	LH123Ht	Root	25079	Hybrid	Inbred	24772.5	306.5
151	Mo17	LH123Ht	Seedling	25258	Hybrid	Inbred	24734.5	523.5
152	Mo17	LH145	Endosperm	20945	Hybrid	Inbred	20792	153
153	Mo17	LH156	Endosperm	21301	Hybrid	Inbred	20822	479
154	Mo17	LH156	Internode	23349	Hybrid	Inbred	22797.5	551.5
155	Mo17	LH156	Leaf	23298	Hybrid	Inbred	23054.5	243.5
156	Mo17	LH156	Root	25375	Hybrid	Inbred	25021.5	353.5
157	Mo17	LH156	Seedling	24987	Hybrid	Inbred	24503.5	483.5
158	Mo17	LH85	Endosperm	21571	Hybrid	Inbred	20795.5	775.5
159	Mo17	LH93	Endosperm	20947	Hybrid	Inbred	20707	240
160	Mo17	LH93	Internode	22789	Hybrid	Inbred	22935	-146
161	Mo17	LH93	Leaf	22696	Hybrid	Inbred	22743	-47
162	Mo17	LH93	Root	24949	Hybrid	Inbred	24597	352
163	Mo17	LH93	Seedling	24817	Hybrid	Inbred	24740	77
164	Mo17	Mo44	Internode	24153	Hybrid	NA	NA	NA
165	Mo17	Mo44	Leaf	22795	Hybrid	NA	NA	NA
166	Mo17	Mo44	Root	25654	Hybrid	Inbred	24784.5	869.5
167	Mo17	Mo44	Seedling	25276	Hybrid	Inbred	24824	452
168	Mo17	Mo45	Endosperm	21084	Hybrid	Inbred	20920.5	163.5
169	Mo17	Mo45	Internode	23280	Hybrid	Inbred	22953.5	326.5
170	Mo17	Mo45	Leaf	22681	Hybrid	Inbred	22968	-287
171	Mo17	Mo45	Root	25348	Hybrid	Inbred	24933	415
172	Mo17	Mo45	Seedling	25288	Hybrid	Inbred	24964.5	323.5
173	Mo17	MoG	Endosperm	21087	Hybrid	Inbred	20603	484
174	Mo17	MoG	Internode	23003	Hybrid	Inbred	22793	210
175	Mo17	MoG	Leaf	23174	Hybrid	Inbred	23102	72
176	Mo17	MoG	Root	25362	Hybrid	Inbred	25099	263
177	Mo17	MoG	Seedling	25613	Hybrid	Inbred	24859	754
178	Mo17	NC230	Endosperm	21178	Hybrid	Inbred	21229.5	-51.5
179	Mo17	NKH8431	Endosperm	21750	Hybrid	Inbred	20877	873
180	Mo17	NKS8326	Endosperm	21224	Hybrid	Inbred	20852	372
181	Mo17	NKS8326	Internode	22877	Hybrid	Inbred	22885.5	-8.5
182	Mo17	NKS8326	Leaf	22872	Hybrid	Inbred	22829	43
183	Mo17	NKS8326	Root	25061	Hybrid	Inbred	24914	147
184	Mo17	NKS8326	Seedling	24873	Hybrid	Inbred	25023	-150
185	Mo17	Ny821	Endosperm	21336	Hybrid	Inbred	20968	368
186	Mo17	Oh43	Endosperm	21513	Hybrid	Inbred	20785	728
187	Mo17	PH207	Endosperm	21270	Hybrid	Inbred	20790.5	479.5
188	Mo17	PHB47	Endosperm	21225	Hybrid	Inbred	20846.5	378.5
189	Mo17	PHB47	Internode	23652	Hybrid	Inbred	22893.5	758.5
190	Mo17	PHB47	Leaf	23020	Hybrid	Inbred	22830.5	189.5
191	Mo17	PHB47	Root	25349	Hybrid	Inbred	24793	556
192	Mo17	PHB47	Seedling	25493	Hybrid	Inbred	24708.5	784.5
193	Mo17	PHG29	Endosperm	21219	Hybrid	Inbred	20555	664
194	Mo17	PHG35	Endosperm	21681	Hybrid	Inbred	20928	753
195	Mo17	PHG35	Internode	23205	Hybrid	Inbred	22846.5	358.5
196	Mo17	PHG35	Leaf	23166	Hybrid	Inbred	23153	13
197	Mo17	PHG35	Root	25084	Hybrid	Inbred	24653.5	430.5
198	Mo17	PHG35	Seedling	25573	Hybrid	Inbred	24954.5	618.5
199	Mo17	PHG39	Endosperm	21712	Hybrid	Inbred	21296	416
200	Mo17	PHG39	Internode	22838	Hybrid	Inbred	22907	-69
201	Mo17	PHG39	Leaf	22942	Hybrid	Inbred	22865	77
202	Mo17	PHG39	Root	25546	Hybrid	Inbred	24834.5	711.5
203	Mo17	PHG39	Seedling	25483	Hybrid	Inbred	24838.5	644.5
204	Mo17	PHG47	Endosperm	20627	Hybrid	Inbred	21075	-448
205	Mo17	PHG47	Internode	23147	Hybrid	Inbred	22760	387
206	Mo17	PHG47	Leaf	22909	Hybrid	Inbred	22816	93
207	Mo17	PHG47	Root	26458	Hybrid	Inbred	24748	1710
208	Mo17	PHG47	Seedling	24599	Hybrid	Inbred	24878	-279
209	Mo17	PHG50	Endosperm	21118	Hybrid	Inbred	20639	479
210	Mo17	PHG50	Internode	22726	Hybrid	Inbred	22994	-268
211	Mo17	PHG50	Leaf	22811	Hybrid	Inbred	22999	-188
212	Mo17	PHG50	Root	24771	Hybrid	Inbred	24812	-41
213	Mo17	PHG50	Seedling	25147	Hybrid	Inbred	24787.5	359.5
214	Mo17	PHG72	Endosperm	20740	Hybrid	Inbred	21150	-410
215	Mo17	PHJ40	Endosperm	20954	Hybrid	Inbred	20624	330
216	Mo17	PHJ40	Internode	22893	Hybrid	Inbred	22828.5	64.5
217	Mo17	PHJ40	Leaf	23429	Hybrid	Inbred	22913	516
218	Mo17	PHJ40	Root	24938	Hybrid	Inbred	24832	106
219	Mo17	PHJ40	Seedling	24473	Hybrid	Inbred	25100	-627
220	Mo17	PHN11	Leaf	22954	Hybrid	Inbred	22452	502
